Participant, Adaptor, Proportion, DV, IV, BaseSize, Setting, RT
1,baseline,0.5,SF,size,8,3.5855,5.5491
1,baseline,0.71,SF,size,8,3.8986,5.0453
1,baseline,0.71,SF,size,8,3.4385,7.3405
1,baseline,0.71,SF,size,8,3.7388,3.5473
1,baseline,0.71,SF,size,8,3.8986,5.4791
1,baseline,1,SF,size,8,3.2975,2.0363
1,baseline,1,SF,size,8,6.443,3.9741
1,baseline,1,SF,size,8,2.6747,3.8779
1,baseline,1,SF,size,8,4.4203,3.4776
1,baseline,1.41,SF,size,8,5.0119,3.6731
1,baseline,1.41,SF,size,8,5.9255,4.7491
1,baseline,1.41,SF,size,8,2.9083,2.2682
1,baseline,1.41,SF,size,8,3.2975,1.8488
1,baseline,2,SF,size,8,7.0057,2.9841
1,baseline,2,SF,size,8,3.8986,1.1614
1,baseline,2,SF,size,8,6.443,4.6965
1,baseline,2,SF,size,8,3.5855,2.1273
1,baseline,4,SF,size,8,5.9255,4.4081
1,baseline,4,SF,size,8,3.1623,4.636
1,baseline,4,SF,size,8,6.1789,17.2947
1,baseline,4,SF,size,8,4.6093,4.4296
1,baseline,0.25,SF,SF,4,1.3689,8.9507
1,baseline,0.25,SF,SF,4,1.2589,4.3825
1,baseline,0.25,SF,SF,4,1.1103,5.1597
1,baseline,0.25,SF,SF,4,1.5521,4.2746
1,baseline,0.5,SF,SF,4,2.789,10.744
1,baseline,0.5,SF,SF,4,3.5855,5.5614
1,baseline,0.5,SF,SF,4,1.3689,4.6093
1,baseline,0.5,SF,SF,4,2.0806,5.71
1,baseline,0.71,SF,SF,4,3.7388,11.0615
1,baseline,0.71,SF,SF,4,2.789,7.5271
1,baseline,0.71,SF,SF,4,4.0653,5.3612
1,baseline,0.71,SF,SF,4,3.2975,7.395
1,baseline,1,SF,SF,4,3.4385,4.1927
1,baseline,1,SF,SF,4,4.6093,8.2777
1,baseline,1,SF,SF,4,3.5855,4.9878
1,baseline,1,SF,SF,4,4.6093,3.9004
1,baseline,1.41,SF,SF,4,6.443,10.2552
1,baseline,1.41,SF,SF,4,6.443,7.213
1,baseline,1.41,SF,SF,4,4.8064,4.3384
1,baseline,1.41,SF,SF,4,5.4496,3.022
1,baseline,2,SF,SF,4,7.6176,4.803
1,baseline,2,SF,SF,4,5.0119,5.842
1,baseline,2,SF,SF,4,9.3913,4.2716
1,baseline,2,SF,SF,4,7.0057,4.0206
1,baseline,4,SF,SF,4,12.5893,8.0432
1,baseline,4,SF,SF,4,7.6176,13.2675
1,baseline,4,SF,SF,4,11.5781,5.9953
1,baseline,4,SF,SF,4,8.637,5.4257
1,baseline,0.25,SF,SF,4,1.9953,4.2338
1,baseline,0.25,SF,SF,4,1.3127,6.2475
1,baseline,0.25,SF,SF,4,1.6184,3.5853
1,baseline,0.25,SF,SF,4,1.6184,13.0059
1,baseline,0.5,SF,SF,4,1.6876,2.8378
1,baseline,0.5,SF,SF,4,2.565,7.0945
1,baseline,0.5,SF,SF,4,2.4599,3.8354
1,baseline,0.5,SF,SF,4,3.2975,5.9267
1,baseline,0.71,SF,SF,4,2.9083,2.2482
1,baseline,0.71,SF,SF,4,3.4385,7.6576
1,baseline,0.71,SF,SF,4,3.1623,7.7335
1,baseline,0.71,SF,SF,4,2.4599,6.6563
1,baseline,1,SF,SF,4,3.2975,6.4466
1,baseline,1,SF,SF,4,3.0326,5.022
1,baseline,1,SF,SF,4,3.2975,5.5697
1,baseline,1,SF,SF,4,3.8986,6.3256
1,baseline,1.41,SF,SF,4,5.2261,5.5445
1,baseline,1.41,SF,SF,4,3.5855,7.8011
1,baseline,1.41,SF,SF,4,3.8986,4.1369
1,baseline,1.41,SF,SF,4,5.6826,10.8724
1,baseline,2,SF,SF,4,3.7388,5.3104
1,baseline,2,SF,SF,4,8.2829,5.4599
1,baseline,2,SF,SF,4,5.0119,3.5076
1,baseline,2,SF,SF,4,4.8064,6.1124
1,baseline,4,SF,SF,4,15.5206,1.077
1,baseline,4,SF,SF,4,13.6887,5.7388
1,baseline,4,SF,SF,4,19.9526,1.957
1,baseline,4,SF,SF,4,19.9526,6.4276
1,baseline,0.25,SF,SF,8,1.6184,3.5272
1,baseline,0.25,SF,SF,8,2.1695,4.5176
1,baseline,0.25,SF,SF,8,1.4274,4.1642
1,baseline,0.25,SF,SF,8,1.6184,6.1407
1,baseline,0.5,SF,SF,8,1.9953,2.6368
1,baseline,0.5,SF,SF,8,2.789,5.1575
1,baseline,0.5,SF,SF,8,2.789,11.5961
1,baseline,0.5,SF,SF,8,2.789,9.4178
1,baseline,0.71,SF,SF,8,3.5855,4.0353
1,baseline,0.71,SF,SF,8,2.789,5.3194
1,baseline,0.71,SF,SF,8,3.7388,6.0206
1,baseline,0.71,SF,SF,8,3.1623,7.3197
1,baseline,1,SF,SF,8,3.7388,3.5973
1,baseline,1,SF,SF,8,4.8064,6.0812
1,baseline,1,SF,SF,8,2.9083,5.1295
1,baseline,1,SF,SF,8,5.0119,3.0403
1,baseline,1.41,SF,SF,8,7.9433,4.8173
1,baseline,1.41,SF,SF,8,6.7185,6.6718
1,baseline,1.41,SF,SF,8,3.7388,2.0075
1,baseline,1.41,SF,SF,8,3.5855,1.8616
1,baseline,2,SF,SF,8,7.3053,3.612
1,baseline,2,SF,SF,8,6.443,7.19
1,baseline,2,SF,SF,8,10.6481,5.8396
1,baseline,2,SF,SF,8,6.443,3.1469
1,baseline,4,SF,SF,8,27.8904,2.0732
1,baseline,4,SF,SF,8,25.6502,4.1491
1,baseline,4,SF,SF,8,23.59,2.0185
1,baseline,4,SF,SF,8,10.6481,5.2906
1,baseline,0.25,SF,SF,8,0.97928,4.8893
1,baseline,0.25,SF,SF,8,1.6184,4.7432
1,baseline,0.25,SF,SF,8,1.1103,4.5014
1,baseline,0.25,SF,SF,8,1.7598,7.1269
1,baseline,0.5,SF,SF,8,2.2623,5.8763
1,baseline,0.5,SF,SF,8,1.7598,3.5602
1,baseline,0.5,SF,SF,8,1.4884,7.8987
1,baseline,0.5,SF,SF,8,2.565,4.7256
