Participant, Proportion, BaseSize, Setting, RT
6,0.5,8,2.6747,2.7341
6,0.5,8,2.0806,1.6355
6,0.5,8,3.7388,3.8632
6,0.5,8,2.2623,5.5492
6,0.71,8,2.9083,3.144
6,0.71,8,2.565,2.7123
6,0.71,8,2.789,1.9929
6,0.71,8,3.1623,2.2575
6,1,8,3.2975,1.4908
6,1,8,4.8064,0.85197
6,1,8,3.5855,1.6447
6,1,8,4.0653,3.1415
6,1.41,8,5.2261,3.6397
6,1.41,8,4.4203,4.5493
6,1.41,8,4.4203,2.8697
6,1.41,8,2.9083,1.4935
6,2,8,3.4385,2.742
6,2,8,3.5855,3.255
6,2,8,4.6093,2.5095
6,2,8,3.4385,5.8578
6,4,8,4.4203,8.3471
6,4,8,3.4385,3.148
6,4,8,5.4496,2.9423
6,4,8,6.7185,1.755
7,0.25,4,0.70057,6.8925
7,0.25,4,1.1578,6.1037
7,0.25,4,1.2073,3.4592
7,0.25,4,1.0212,6.0524
7,0.5,4,3.2975,2.8567
7,0.5,4,4.6093,3.8094
7,0.5,4,2.359,6.0034
7,0.5,4,4.4203,5.0521
7,0.71,4,2.565,4.0892
7,0.71,4,4.2391,4.116
7,0.71,4,4.0653,4.7839
7,0.71,4,5.6826,3.8676
7,1,4,4.0653,3.7295
7,1,4,7.3053,3.164
7,1,4,4.4203,3.7787
7,1,4,5.6826,4.4527
7,1.41,4,5.9255,4.9473
7,1.41,4,6.1789,4.875
7,1.41,4,4.2391,4.9256
7,1.41,4,5.6826,5.8334
7,2,4,8.637,5.6364
7,2,4,5.2261,2.2481
7,2,4,5.2261,4.5197
7,2,4,5.6826,4.7883
7,4,4,5.4496,4.336
7,4,4,6.1789,2.8923
7,4,4,6.1789,5.6284
7,4,4,7.3053,1.8161
7,0.25,4,0.97928,4.7344
7,0.25,4,0.50119,1.753
7,0.25,4,0.54496,2.2897
7,0.25,4,0.82829,4.3367
7,0.5,4,7.3053,3.974
7,0.5,4,3.8986,3.4115
7,0.5,4,2.359,3.0179
7,0.5,4,5.9255,2.9738
7,0.71,4,5.2261,2.2907
7,0.71,4,3.1623,1.3625
7,0.71,4,4.6093,3.6214
7,0.71,4,5.6826,4.7062
7,1,4,5.0119,2.626
7,1,4,4.4203,2.5192
7,1,4,4.2391,3.2098
7,1,4,5.4496,2.8847
7,1.41,4,5.0119,3.7844
7,1.41,4,4.6093,2.9921
7,1.41,4,4.0653,1.9311
7,1.41,4,6.443,3.0628
7,2,4,4.6093,4.4763
7,2,4,4.8064,2.4014
7,2,4,5.2261,4.6618
7,2,4,5.0119,3.7655
7,4,4,6.1789,5.2361
7,4,4,7.6176,4.6995
7,4,4,7.6176,4.493
7,4,4,7.0057,2.8478
7,0.25,8,0.50119,7.2537
7,0.25,8,1.7598,3.0704
7,0.25,8,2.565,1.819
7,0.25,8,2.2623,3.3307
7,0.5,8,6.443,2.4855
7,0.5,8,4.6093,3.5654
7,0.5,8,4.6093,5.3729
7,0.5,8,3.0326,1.7375
7,0.71,8,6.443,3.3327
7,0.71,8,8.637,2.2094
7,0.71,8,2.4599,4.709
7,0.71,8,3.0326,2.3926
7,1,8,4.0653,1.9173
7,1,8,6.443,3.1005
7,1,8,4.8064,2.3511
7,1,8,4.4203,4.6181
7,1.41,8,4.6093,1.5261
7,1.41,8,7.3053,2.2076
7,1.41,8,5.4496,5.2272
7,1.41,8,13.6887,1.7738
7,2,8,7.9433,2.5512
7,2,8,5.9255,3.9928
7,2,8,5.4496,5.4286
